date,Tooele County,Salt Lake County
9/30/2006,,224005.60102178776
10/31/2006,,227996.76951744946
11/30/2006,,231704.99979645992
12/31/2006,,235381.26896462843
1/31/2007,,238892.9848097371
2/28/2007,,242432.50543625947
3/31/2007,,246010.61504999376
4/30/2007,,249111.89932955068
5/31/2007,,252114.73763399269
6/30/2007,,255748.74138144948
7/31/2007,,259617.86562278797
8/31/2007,,263487.1133215974
9/30/2007,,266104.83608853025
10/31/2007,,267631.3491971974
11/30/2007,,268847.47420483525
12/31/2007,,270123.5111404559
1/31/2008,,271243.7108235589
2/29/2008,,271242.1183460448
3/31/2008,215827.47632260044,269904.46844917606
4/30/2008,211175.8114663431,267723.47392336704
5/31/2008,209053.7200407932,265333.39214723394
6/30/2008,204760.7173,262731.7685752471
7/31/2008,203211.3078129969,260051.46551989453
8/31/2008,201995.54754045876,257154.41916590263
9/30/2008,200941.42438351933,255160.5027783617
10/31/2008,199765.6901772927,253436.83963574408
11/30/2008,198479.2269470629,252020.75091654892
12/31/2008,197264.8185920718,250253.24096666175
1/31/2009,195857.76890471647,247644.60809336152
2/28/2009,194256.85122422493,244518.7565915933
3/31/2009,192555.1617863418,241008.26772494687
4/30/2009,190916.26548554547,238630.82648849383
5/31/2009,189468.85163272405,236430.14226180103
6/30/2009,187836.91538854502,234641.98091508323
7/31/2009,186242.10659327242,232708.92706556318
8/31/2009,184462.7646131746,230721.63244610853
9/30/2009,182764.95795454152,228636.8229
10/31/2009,181174.7847528915,226709.8264566277
11/30/2009,179806.0893761634,225321.70119176185
12/31/2009,178811.5377110611,224298.73254839538
1/31/2010,177943.22906538713,223741.91196372916
2/28/2010,176998.9510941504,223556.07112863302
3/31/2010,176178.70163521823,223481.11663372788
4/30/2010,175547.1266506226,223359.0413056443
5/31/2010,175542.7103795423,223334.66148575975
6/30/2010,175193.10753176492,222551.1647537507
7/31/2010,174746.15933122768,221064.68643333297
8/31/2010,173937.5259084568,218492.31557669942
9/30/2010,173072.54035493245,216541.29488235246
10/31/2010,172175.96515598687,215054.32090428917
11/30/2010,171236.69077792464,213632.1349413256
12/31/2010,170533.0393269742,211640.80011902007
1/31/2011,169767.9013050949,208977.5120264239
2/28/2011,168504.6433430236,206550.91809629652
3/31/2011,167105.50099406546,204802.18322179723
4/30/2011,165952.17971255214,203569.63448359704
5/31/2011,165598.96802655852,202531.41080034702
6/30/2011,165412.04233227143,201288.0021252935
7/31/2011,165319.56891452122,200176.25985343536
8/31/2011,165306.9290648716,199571.25577839176
9/30/2011,165397.21248762202,198609.9067334542
10/31/2011,165444.55334512427,197448.87175913053
11/30/2011,165338.46206718608,196270.8313941881
12/31/2011,165460.50195091678,195806.8034727242
1/31/2012,165711.05721771574,195837.05340641874
2/29/2012,165971.7887436451,196159.16331693402
3/31/2012,166241.56552575447,197205.96769010217
4/30/2012,166995.44566675855,198894.41862403377
5/31/2012,168084.85014163214,200947.98128602732
6/30/2012,169641.3482656289,203018.03469831054
7/31/2012,170764.00982637878,205021.24156287557
8/31/2012,171724.48379988314,206855.73631214656
9/30/2012,172448.67590671664,208670.07884630185
10/31/2012,173446.9813354636,210543.7900463119
11/30/2012,174656.07307273804,212794.88577563604
12/31/2012,176051.7257376789,215273.3156688198
1/31/2013,177635.1790679342,217848.9374302655
2/28/2013,179367.78454880664,220075.22983117503
3/31/2013,181203.71901717616,222315.63411972983
4/30/2013,182968.4563064087,224905.0047601839
5/31/2013,184462.3692037106,228129.20053236946
6/30/2013,185998.1651,231478.0402
7/31/2013,187322.4865483876,234708.77840017874
8/31/2013,188652.39906344222,237607.85854314102
9/30/2013,189595.1883444859,240074.8544854367
10/31/2013,190809.31747449096,241975.51222067815
11/30/2013,191717.3700532708,243279.98405844506
12/31/2013,192541.56859997098,244060.60953836003
1/31/2014,192973.70813756518,244870.43830180017
2/28/2014,193564.84621284992,245638.50563488877
3/31/2014,193995.3660050713,246712.78120986334
4/30/2014,194197.96758854316,247596.62377041965
5/31/2014,194351.58011637526,248507.1239761136
6/30/2014,194627.95002362886,248829.75827444703
7/31/2014,195232.67420822728,249003.57102963203
8/31/2014,196013.89285515458,249104.77743458693
9/30/2014,196530.71527111772,249525.17878476114
10/31/2014,196696.4124090716,249822.37079004882
11/30/2014,196643.87398663603,250353.4496
12/31/2014,196851.67619170775,251193.48596119462
1/31/2015,197423.2567880094,252593.45584750056
2/28/2015,198198.80272113314,254047.84951224283
3/31/2015,199080.86878735226,255558.63909803648
4/30/2015,200103.27668316243,256975.49775691645
5/31/2015,201151.81174407096,258487.4967237235
6/30/2015,202374.12110219864,260093.8201363825
